"","YEAR","MONTH","TEMPERATURE","CITY","DATE"
"939",1981,"JUN",23.1,"Cali",1981-06-01
"940",1982,"JUN",24,"Cali",1982-06-01
"941",1983,"JUN",24.3,"Cali",1983-06-01
"942",1984,"JUN",23.4,"Cali",1984-06-01
"943",1985,"JUN",23.5,"Cali",1985-06-01
"944",1986,"JUN",23.4,"Cali",1986-06-01
"945",1987,"JUN",24.6,"Cali",1987-06-01
"946",1988,"JUN",23.6,"Cali",1988-06-01
"947",1989,"JUN",23.1,"Cali",1989-06-01
"948",1990,"JUN",23.7,"Cali",1990-06-01
"949",1991,"JUN",24.1,"Cali",1991-06-01
"950",1992,"JUN",24.4,"Cali",1992-06-01
"951",1993,"JUN",23.7,"Cali",1993-06-01
"952",1994,"JUN",24.2,"Cali",1994-06-01
"953",1995,"JUN",24.4,"Cali",1995-06-01
"954",1996,"JUN",23.9,"Cali",1996-06-01
"955",1997,"JUN",23.2,"Cali",1997-06-01
"956",1998,"JUN",24.5,"Cali",1998-06-01
"957",1999,"JUN",23.3,"Cali",1999-06-01
"958",2000,"JUN",23.5,"Cali",2000-06-01
"959",2001,"JUN",23.5,"Cali",2001-06-01
"960",2002,"JUN",23,"Cali",2002-06-01
"961",2003,"JUN",23,"Cali",2003-06-01
"962",2004,"JUN",23.8,"Cali",2004-06-01
"963",2005,"JUN",23.7,"Cali",2005-06-01
"964",2006,"JUN",23.3,"Cali",2006-06-01
"965",2007,"JUN",23.4,"Cali",2007-06-01
"966",2008,"JUN",23.1,"Cali",2008-06-01
"967",2009,"JUN",23.6,"Cali",2009-06-01
"968",2010,"JUN",23.4,"Cali",2010-06-01
"969",2011,"JUN",23.9,"Cali",2011-06-01
"970",2012,"JUN",24,"Cali",2012-06-01
"971",2013,"JUN",24.1,"Cali",2013-06-01
"972",2014,"JUN",999.9,"Cali",2014-06-01
"973",1951,"JUL",23.2,"Cali",1951-07-01
"974",1952,"JUL",23.2,"Cali",1952-07-01
"975",1953,"JUL",23.2,"Cali",1953-07-01
"976",1954,"JUL",22.4,"Cali",1954-07-01
"977",1955,"JUL",23.1,"Cali",1955-07-01
"978",1956,"JUL",23.8,"Cali",1956-07-01
"979",1957,"JUL",24.8,"Cali",1957-07-01
"980",1958,"JUL",999.9,"Cali",1958-07-01
"981",1959,"JUL",22.9,"Cali",1959-07-01
"982",1960,"JUL",23.1,"Cali",1960-07-01
"983",1961,"JUL",22.7,"Cali",1961-07-01
"984",1962,"JUL",23.4,"Cali",1962-07-01
"985",1963,"JUL",23.2,"Cali",1963-07-01
"986",1964,"JUL",999.9,"Cali",1964-07-01
"987",1965,"JUL",999.9,"Cali",1965-07-01
"988",1966,"JUL",23.5,"Cali",1966-07-01
"989",1967,"JUL",22.8,"Cali",1967-07-01
"990",1968,"JUL",23.1,"Cali",1968-07-01
"991",1969,"JUL",23.1,"Cali",1969-07-01
"992",1970,"JUL",23.3,"Cali",1970-07-01
"993",1971,"JUL",23,"Cali",1971-07-01
"994",1972,"JUL",24.5,"Cali",1972-07-01
"995",1973,"JUL",23.6,"Cali",1973-07-01
"996",1974,"JUL",23.1,"Cali",1974-07-01
"997",1975,"JUL",22.2,"Cali",1975-07-01
"998",1976,"JUL",23.8,"Cali",1976-07-01
"999",1977,"JUL",24,"Cali",1977-07-01
"1000",1978,"JUL",23.4,"Cali",1978-07-01
"1001",1979,"JUL",23.9,"Cali",1979-07-01
"1002",1980,"JUL",24,"Cali",1980-07-01
"1003",1981,"JUL",23.5,"Cali",1981-07-01
"1004",1982,"JUL",23.8,"Cali",1982-07-01
"1005",1983,"JUL",24.5,"Cali",1983-07-01
"1006",1984,"JUL",23.5,"Cali",1984-07-01
"1007",1985,"JUL",23.5,"Cali",1985-07-01
"1008",1986,"JUL",24,"Cali",1986-07-01
"1009",1987,"JUL",24,"Cali",1987-07-01
"1010",1988,"JUL",23.7,"Cali",1988-07-01
"1011",1989,"JUL",24.2,"Cali",1989-07-01
"1012",1990,"JUL",23.8,"Cali",1990-07-01
"1013",1991,"JUL",23.6,"Cali",1991-07-01
"1014",1992,"JUL",23.7,"Cali",1992-07-01
"1015",1993,"JUL",24,"Cali",1993-07-01
"1016",1994,"JUL",23.8,"Cali",1994-07-01
"1017",1995,"JUL",24,"Cali",1995-07-01
"1018",1996,"JUL",24.1,"Cali",1996-07-01
"1019",1997,"JUL",24.3,"Cali",1997-07-01
"1020",1998,"JUL",24.2,"Cali",1998-07-01
"1021",1999,"JUL",24.1,"Cali",1999-07-01
"1022",2000,"JUL",23.9,"Cali",2000-07-01
"1023",2001,"JUL",23.6,"Cali",2001-07-01
"1024",2002,"JUL",24.1,"Cali",2002-07-01
"1025",2003,"JUL",23.7,"Cali",2003-07-01
"1026",2004,"JUL",23.2,"Cali",2004-07-01
"1027",2005,"JUL",24.1,"Cali",2005-07-01
"1028",2006,"JUL",24.3,"Cali",2006-07-01
"1029",2007,"JUL",23.8,"Cali",2007-07-01
"1030",2008,"JUL",23.1,"Cali",2008-07-01
"1031",2009,"JUL",24.6,"Cali",2009-07-01
"1032",2010,"JUL",23,"Cali",2010-07-01
"1033",2011,"JUL",23.6,"Cali",2011-07-01
"1034",2012,"JUL",999.9,"Cali",2012-07-01
"1035",2013,"JUL",24.1,"Cali",2013-07-01
"1036",2014,"JUL",999.9,"Cali",2014-07-01
"1037",1951,"AUG",23.8,"Cali",1951-08-01
"1038",1952,"AUG",23.3,"Cali",1952-08-01
"1039",1953,"AUG",24.2,"Cali",1953-08-01
"1040",1954,"AUG",22.8,"Cali",1954-08-01
"1041",1955,"AUG",23.9,"Cali",1955-08-01
"1042",1956,"AUG",24,"Cali",1956-08-01
"1043",1957,"AUG",999.9,"Cali",1957-08-01
"1044",1958,"AUG",999.9,"Cali",1958-08-01
"1045",1959,"AUG",23,"Cali",1959-08-01
"1046",1960,"AUG",23.6,"Cali",1960-08-01
"1047",1961,"AUG",23.6,"Cali",1961-08-01
"1048",1962,"AUG",23.3,"Cali",1962-08-01
"1049",1963,"AUG",24.1,"Cali",1963-08-01
"1050",1964,"AUG",999.9,"Cali",1964-08-01
"1051",1965,"AUG",999.9,"Cali",1965-08-01
"1052",1966,"AUG",23,"Cali",1966-08-01
"1053",1967,"AUG",23.4,"Cali",1967-08-01
"1054",1968,"AUG",23.7,"Cali",1968-08-01
"1055",1969,"AUG",23.9,"Cali",1969-08-01
"1056",1970,"AUG",23.5,"Cali",1970-08-01
"1057",1971,"AUG",22.4,"Cali",1971-08-01
"1058",1972,"AUG",999.9,"Cali",1972-08-01
"1059",1973,"AUG",23,"Cali",1973-08-01
"1060",1974,"AUG",23.8,"Cali",1974-08-01
"1061",1975,"AUG",22.7,"Cali",1975-08-01
"1062",1976,"AUG",23.9,"Cali",1976-08-01
"1063",1977,"AUG",24,"Cali",1977-08-01
"1064",1978,"AUG",23.9,"Cali",1978-08-01
"1065",1979,"AUG",23.5,"Cali",1979-08-01
"1066",1980,"AUG",23.6,"Cali",1980-08-01
"1067",1981,"AUG",23.6,"Cali",1981-08-01
"1068",1982,"AUG",24.6,"Cali",1982-08-01
"1069",1983,"AUG",24.7,"Cali",1983-08-01
"1070",1984,"AUG",23.2,"Cali",1984-08-01
"1071",1985,"AUG",23.2,"Cali",1985-08-01
"1072",1986,"AUG",24.2,"Cali",1986-08-01
"1073",1987,"AUG",24.6,"Cali",1987-08-01
"1074",1988,"AUG",23.9,"Cali",1988-08-01
"1075",1989,"AUG",23.6,"Cali",1989-08-01
"1076",1990,"AUG",24.2,"Cali",1990-08-01
"1077",1991,"AUG",23.7,"Cali",1991-08-01
"1078",1992,"AUG",24.2,"Cali",1992-08-01
"1079",1993,"AUG",24.3,"Cali",1993-08-01
"1080",1994,"AUG",23.9,"Cali",1994-08-01
"1081",1995,"AUG",24.1,"Cali",1995-08-01
"1082",1996,"AUG",23.7,"Cali",1996-08-01
"1083",1997,"AUG",24.8,"Cali",1997-08-01
"1084",1998,"AUG",24.3,"Cali",1998-08-01
"1085",1999,"AUG",24.2,"Cali",1999-08-01
"1086",2000,"AUG",24.2,"Cali",2000-08-01
"1087",2001,"AUG",24.9,"Cali",2001-08-01
"1088",2002,"AUG",24.4,"Cali",2002-08-01
"1089",2003,"AUG",23.8,"Cali",2003-08-01
"1090",2004,"AUG",24.3,"Cali",2004-08-01
"1091",2005,"AUG",24.2,"Cali",2005-08-01
"1092",2006,"AUG",24.2,"Cali",2006-08-01
"1093",2007,"AUG",23.3,"Cali",2007-08-01
"1094",2008,"AUG",23.1,"Cali",2008-08-01
"1095",2009,"AUG",24.8,"Cali",2009-08-01
"1096",2010,"AUG",23.6,"Cali",2010-08-01
"1097",2011,"AUG",24.3,"Cali",2011-08-01
"1098",2012,"AUG",24.4,"Cali",2012-08-01
"1099",2013,"AUG",23.7,"Cali",2013-08-01
"1100",2014,"AUG",999.9,"Cali",2014-08-01
"1101",1951,"SEP",23.4,"Cali",1951-09-01
"1102",1952,"SEP",23.2,"Cali",1952-09-01
"1103",1953,"SEP",23.2,"Cali",1953-09-01
"1104",1954,"SEP",24.3,"Cali",1954-09-01
"1105",1955,"SEP",23.8,"Cali",1955-09-01
"1106",1956,"SEP",23.8,"Cali",1956-09-01
"1107",1957,"SEP",999.9,"Cali",1957-09-01
"1108",1958,"SEP",999.9,"Cali",1958-09-01
"1109",1959,"SEP",23.6,"Cali",1959-09-01
"1110",1960,"SEP",23.5,"Cali",1960-09-01
"1111",1961,"SEP",23.3,"Cali",1961-09-01
"1112",1962,"SEP",23.5,"Cali",1962-09-01
"1113",1963,"SEP",23.9,"Cali",1963-09-01
"1114",1964,"SEP",999.9,"Cali",1964-09-01
"1115",1965,"SEP",999.9,"Cali",1965-09-01
"1116",1966,"SEP",23.4,"Cali",1966-09-01
"1117",1967,"SEP",22.8,"Cali",1967-09-01
"1118",1968,"SEP",23.1,"Cali",1968-09-01
"1119",1969,"SEP",23.5,"Cali",1969-09-01
"1120",1970,"SEP",23.1,"Cali",1970-09-01
"1121",1971,"SEP",22.3,"Cali",1971-09-01
"1122",1972,"SEP",999.9,"Cali",1972-09-01
"1123",1973,"SEP",22.5,"Cali",1973-09-01
"1124",1974,"SEP",22.6,"Cali",1974-09-01
"1125",1975,"SEP",23,"Cali",1975-09-01
"1126",1976,"SEP",24.6,"Cali",1976-09-01
"1127",1977,"SEP",23.5,"Cali",1977-09-01
"1128",1978,"SEP",23.6,"Cali",1978-09-01
"1129",1979,"SEP",23.3,"Cali",1979-09-01
"1130",1980,"SEP",24.2,"Cali",1980-09-01
"1131",1981,"SEP",23.8,"Cali",1981-09-01
"1132",1982,"SEP",23.9,"Cali",1982-09-01
"1133",1983,"SEP",24.3,"Cali",1983-09-01
"1134",1984,"SEP",23.1,"Cali",1984-09-01
"1135",1985,"SEP",23.1,"Cali",1985-09-01
"1136",1986,"SEP",24.4,"Cali",1986-09-01
"1137",1987,"SEP",24.4,"Cali",1987-09-01
"1138",1988,"SEP",23.8,"Cali",1988-09-01
"1139",1989,"SEP",23.4,"Cali",1989-09-01
"1140",1990,"SEP",24.2,"Cali",1990-09-01
"1141",1991,"SEP",24.2,"Cali",1991-09-01
"1142",1992,"SEP",23.9,"Cali",1992-09-01
"1143",1993,"SEP",23.3,"Cali",1993-09-01
"1144",1994,"SEP",24.1,"Cali",1994-09-01
"1145",1995,"SEP",24.8,"Cali",1995-09-01
"1146",1996,"SEP",24,"Cali",1996-09-01
"1147",1997,"SEP",24.2,"Cali",1997-09-01
"1148",1998,"SEP",24.2,"Cali",1998-09-01
"1149",1999,"SEP",23,"Cali",1999-09-01
"1150",2000,"SEP",23,"Cali",2000-09-01
"1151",2001,"SEP",23.5,"Cali",2001-09-01
"1152",2002,"SEP",24,"Cali",2002-09-01
"1153",2003,"SEP",23.7,"Cali",2003-09-01
"1154",2004,"SEP",23.2,"Cali",2004-09-01
"1155",2005,"SEP",24,"Cali",2005-09-01
"1156",2006,"SEP",24,"Cali",2006-09-01
"1157",2007,"SEP",24,"Cali",2007-09-01
"1158",2008,"SEP",23.3,"Cali",2008-09-01
"1159",2009,"SEP",25.1,"Cali",2009-09-01
"1160",2010,"SEP",999.9,"Cali",2010-09-01
"1161",2011,"SEP",24,"Cali",2011-09-01
"1162",2012,"SEP",24.4,"Cali",2012-09-01
"1163",2013,"SEP",24.3,"Cali",2013-09-01
"1164",2014,"SEP",999.9,"Cali",2014-09-01
"1165",1951,"OCT",23.5,"Cali",1951-10-01
"1166",1952,"OCT",999.9,"Cali",1952-10-01
"1167",1953,"OCT",22.2,"Cali",1953-10-01
"1168",1954,"OCT",23.1,"Cali",1954-10-01
"1169",1955,"OCT",22.6,"Cali",1955-10-01
"1170",1956,"OCT",23.1,"Cali",1956-10-01
"1171",1957,"OCT",999.9,"Cali",1957-10-01
"1172",1958,"OCT",999.9,"Cali",1958-10-01
"1173",1959,"OCT",22.4,"Cali",1959-10-01
"1174",1960,"OCT",22.7,"Cali",1960-10-01
"1175",1961,"OCT",22.7,"Cali",1961-10-01
"1176",1962,"OCT",22.6,"Cali",1962-10-01
"1177",1963,"OCT",23.7,"Cali",1963-10-01
"1178",1964,"OCT",999.9,"Cali",1964-10-01
"1179",1965,"OCT",999.9,"Cali",1965-10-01
"1180",1966,"OCT",22.8,"Cali",1966-10-01
"1181",1967,"OCT",22.7,"Cali",1967-10-01
"1182",1968,"OCT",22.4,"Cali",1968-10-01
"1183",1969,"OCT",22,"Cali",1969-10-01
"1184",1970,"OCT",22.7,"Cali",1970-10-01
"1185",1971,"OCT",21.8,"Cali",1971-10-01
"1186",1972,"OCT",999.9,"Cali",1972-10-01
"1187",1973,"OCT",22.6,"Cali",1973-10-01
"1188",1974,"OCT",22.4,"Cali",1974-10-01
"1189",1975,"OCT",22.2,"Cali",1975-10-01
"1190",1976,"OCT",22.9,"Cali",1976-10-01
"1191",1977,"OCT",23.2,"Cali",1977-10-01
"1192",1978,"OCT",23.4,"Cali",1978-10-01
"1193",1979,"OCT",23.4,"Cali",1979-10-01
"1194",1980,"OCT",23.3,"Cali",1980-10-01
"1195",1981,"OCT",23.2,"Cali",1981-10-01
"1196",1982,"OCT",22.9,"Cali",1982-10-01
"1197",1983,"OCT",23.5,"Cali",1983-10-01
"1198",1984,"OCT",23,"Cali",1984-10-01
"1199",1985,"OCT",23,"Cali",1985-10-01
"1200",1986,"OCT",23.1,"Cali",1986-10-01
"1201",1987,"OCT",23.7,"Cali",1987-10-01
"1202",1988,"OCT",23.3,"Cali",1988-10-01
"1203",1989,"OCT",23.1,"Cali",1989-10-01
"1204",1990,"OCT",22.9,"Cali",1990-10-01
"1205",1991,"OCT",23.3,"Cali",1991-10-01
"1206",1992,"OCT",23.3,"Cali",1992-10-01
"1207",1993,"OCT",23.3,"Cali",1993-10-01
"1208",1994,"OCT",23.7,"Cali",1994-10-01
"1209",1995,"OCT",23.5,"Cali",1995-10-01
"1210",1996,"OCT",22.8,"Cali",1996-10-01
"1211",1997,"OCT",24.1,"Cali",1997-10-01
"1212",1998,"OCT",24.1,"Cali",1998-10-01
"1213",1999,"OCT",23.1,"Cali",1999-10-01
"1214",2000,"OCT",23.7,"Cali",2000-10-01
"1215",2001,"OCT",24.1,"Cali",2001-10-01
"1216",2002,"OCT",23.6,"Cali",2002-10-01
"1217",2003,"OCT",23.1,"Cali",2003-10-01
"1218",2004,"OCT",999.9,"Cali",2004-10-01
"1219",2005,"OCT",22.8,"Cali",2005-10-01
"1220",2006,"OCT",23.7,"Cali",2006-10-01
"1221",2007,"OCT",22.5,"Cali",2007-10-01
"1222",2008,"OCT",23,"Cali",2008-10-01
"1223",2009,"OCT",24.3,"Cali",2009-10-01
"1224",2010,"OCT",23.2,"Cali",2010-10-01
"1225",2011,"OCT",22.5,"Cali",2011-10-01
"1226",2012,"OCT",23.5,"Cali",2012-10-01
"1227",2013,"OCT",23.5,"Cali",2013-10-01
"1228",2014,"OCT",999.9,"Cali",2014-10-01
"1229",1951,"NOV",999.9,"Cali",1951-11-01
"1230",1952,"NOV",999.9,"Cali",1952-11-01
"1231",1953,"NOV",999.9,"Cali",1953-11-01
"1232",1954,"NOV",23.1,"Cali",1954-11-01
"1233",1955,"NOV",999.9,"Cali",1955-11-01
"1234",1956,"NOV",999.9,"Cali",1956-11-01
"1235",1957,"NOV",999.9,"Cali",1957-11-01
"1236",1958,"NOV",999.9,"Cali",1958-11-01
"1237",1959,"NOV",22.4,"Cali",1959-11-01
"1238",1960,"NOV",22.5,"Cali",1960-11-01
"1239",1961,"NOV",21.7,"Cali",1961-11-01
"1240",1962,"NOV",22.5,"Cali",1962-11-01
"1241",1963,"NOV",22.2,"Cali",1963-11-01
"1242",1964,"NOV",999.9,"Cali",1964-11-01
"1243",1965,"NOV",999.9,"Cali",1965-11-01
"1244",1966,"NOV",22.2,"Cali",1966-11-01
"1245",1967,"NOV",22.4,"Cali",1967-11-01
"1246",1968,"NOV",22.2,"Cali",1968-11-01
"1247",1969,"NOV",22.5,"Cali",1969-11-01
"1248",1970,"NOV",21.9,"Cali",1970-11-01
"1249",1971,"NOV",21.8,"Cali",1971-11-01
"1250",1972,"NOV",999.9,"Cali",1972-11-01
"1251",1973,"NOV",22.4,"Cali",1973-11-01
"1252",1974,"NOV",22.7,"Cali",1974-11-01
"1253",1975,"NOV",21.9,"Cali",1975-11-01
"1254",1976,"NOV",22.9,"Cali",1976-11-01
"1255",1977,"NOV",23.2,"Cali",1977-11-01
"1256",1978,"NOV",23.3,"Cali",1978-11-01
"1257",1979,"NOV",23,"Cali",1979-11-01
"1258",1980,"NOV",23,"Cali",1980-11-01
"1259",1981,"NOV",22.9,"Cali",1981-11-01
"1260",1982,"NOV",23.3,"Cali",1982-11-01
"1261",1983,"NOV",23.7,"Cali",1983-11-01
"1262",1984,"NOV",22.8,"Cali",1984-11-01
"1263",1985,"NOV",22.8,"Cali",1985-11-01
"1264",1986,"NOV",22.7,"Cali",1986-11-01
"1265",1987,"NOV",24.1,"Cali",1987-11-01
"1266",1988,"NOV",22.4,"Cali",1988-11-01
"1267",1989,"NOV",24.1,"Cali",1989-11-01
"1268",1990,"NOV",23.3,"Cali",1990-11-01
"1269",1991,"NOV",23,"Cali",1991-11-01
"1270",1992,"NOV",23.1,"Cali",1992-11-01
"1271",1993,"NOV",22.7,"Cali",1993-11-01
"1272",1994,"NOV",23.4,"Cali",1994-11-01
"1273",1995,"NOV",22,"Cali",1995-11-01
"1274",1996,"NOV",23.1,"Cali",1996-11-01
"1275",1997,"NOV",23.3,"Cali",1997-11-01
"1276",1998,"NOV",23.5,"Cali",1998-11-01
"1277",1999,"NOV",23.1,"Cali",1999-11-01
"1278",2000,"NOV",23.2,"Cali",2000-11-01
"1279",2001,"NOV",23.4,"Cali",2001-11-01
"1280",2002,"NOV",23.3,"Cali",2002-11-01
"1281",2003,"NOV",22.5,"Cali",2003-11-01
"1282",2004,"NOV",23.1,"Cali",2004-11-01
"1283",2005,"NOV",23,"Cali",2005-11-01
"1284",2006,"NOV",23,"Cali",2006-11-01
"1285",2007,"NOV",22.3,"Cali",2007-11-01
"1286",2008,"NOV",22.8,"Cali",2008-11-01
"1287",2009,"NOV",24.5,"Cali",2009-11-01
"1288",2010,"NOV",22,"Cali",2010-11-01
"1289",2011,"NOV",23,"Cali",2011-11-01
"1290",2012,"NOV",23.5,"Cali",2012-11-01
"1291",2013,"NOV",23,"Cali",2013-11-01
"1292",2014,"NOV",999.9,"Cali",2014-11-01
"1293",1951,"DEC",23.3,"Cali",1951-12-01
"1294",1952,"DEC",23.1,"Cali",1952-12-01
"1295",1953,"DEC",999.9,"Cali",1953-12-01
"1296",1954,"DEC",23.5,"Cali",1954-12-01
"1297",1955,"DEC",22.9,"Cali",1955-12-01
"1298",1956,"DEC",23.7,"Cali",1956-12-01
"1299",1957,"DEC",999.9,"Cali",1957-12-01
"1300",1958,"DEC",999.9,"Cali",1958-12-01
"1301",1959,"DEC",22.6,"Cali",1959-12-01
"1302",1960,"DEC",23,"Cali",1960-12-01
"1303",1961,"DEC",22.6,"Cali",1961-12-01
"1304",1962,"DEC",22.7,"Cali",1962-12-01
"1305",1963,"DEC",23.7,"Cali",1963-12-01
"1306",1964,"DEC",999.9,"Cali",1964-12-01
"1307",1965,"DEC",999.9,"Cali",1965-12-01
"1308",1966,"DEC",22.2,"Cali",1966-12-01
"1309",1967,"DEC",22.7,"Cali",1967-12-01
"1310",1968,"DEC",22.7,"Cali",1968-12-01
"1311",1969,"DEC",22.8,"Cali",1969-12-01
"1312",1970,"DEC",22.7,"Cali",1970-12-01
"1313",1971,"DEC",22.7,"Cali",1971-12-01
"1314",1972,"DEC",999.9,"Cali",1972-12-01
"1315",1973,"DEC",22.1,"Cali",1973-12-01
"1316",1974,"DEC",22.8,"Cali",1974-12-01
"1317",1975,"DEC",21.6,"Cali",1975-12-01
"1318",1976,"DEC",23.1,"Cali",1976-12-01
"1319",1977,"DEC",23.6,"Cali",1977-12-01
"1320",1978,"DEC",23.3,"Cali",1978-12-01
"1321",1979,"DEC",23.4,"Cali",1979-12-01
"1322",1980,"DEC",23,"Cali",1980-12-01
"1323",1981,"DEC",23.3,"Cali",1981-12-01
"1324",1982,"DEC",23.5,"Cali",1982-12-01
"1325",1983,"DEC",22.7,"Cali",1983-12-01
"1326",1984,"DEC",23,"Cali",1984-12-01
"1327",1985,"DEC",23,"Cali",1985-12-01
"1328",1986,"DEC",24,"Cali",1986-12-01
"1329",1987,"DEC",24.4,"Cali",1987-12-01
"1330",1988,"DEC",23.3,"Cali",1988-12-01
"1331",1989,"DEC",23.3,"Cali",1989-12-01
"1332",1990,"DEC",23.2,"Cali",1990-12-01
"1333",1991,"DEC",23.7,"Cali",1991-12-01
"1334",1992,"DEC",22.2,"Cali",1992-12-01
"1335",1993,"DEC",23.3,"Cali",1993-12-01
"1336",1994,"DEC",24,"Cali",1994-12-01
"1337",1995,"DEC",22.8,"Cali",1995-12-01
"1338",1996,"DEC",23.5,"Cali",1996-12-01
"1339",1997,"DEC",24.6,"Cali",1997-12-01
"1340",1998,"DEC",23.6,"Cali",1998-12-01
"1341",1999,"DEC",23,"Cali",1999-12-01
"1342",2000,"DEC",23.4,"Cali",2000-12-01
"1343",2001,"DEC",23.3,"Cali",2001-12-01
"1344",2002,"DEC",23.9,"Cali",2002-12-01
"1345",2003,"DEC",23.3,"Cali",2003-12-01
"1346",2004,"DEC",23.3,"Cali",2004-12-01
"1347",2005,"DEC",22.7,"Cali",2005-12-01
"1348",2006,"DEC",23.4,"Cali",2006-12-01
"1349",2007,"DEC",22.3,"Cali",2007-12-01
"1350",2008,"DEC",22.9,"Cali",2008-12-01
"1351",2009,"DEC",24.3,"Cali",2009-12-01
"1352",2010,"DEC",22.3,"Cali",2010-12-01
"1353",2011,"DEC",22.7,"Cali",2011-12-01
"1354",2012,"DEC",999.9,"Cali",2012-12-01
"1355",2013,"DEC",23.3,"Cali",2013-12-01
"1356",2014,"DEC",999.9,"Cali",2014-12-01
"1357",1966,"JAN",999.9,"Barranquilla",1966-01-01
"1358",1967,"JAN",26.2,"Barranquilla",1967-01-01
"1359",1968,"JAN",25.7,"Barranquilla",1968-01-01
"1360",1969,"JAN",26.5,"Barranquilla",1969-01-01
"1361",1970,"JAN",27.1,"Barranquilla",1970-01-01
"1362",1971,"JAN",26.3,"Barranquilla",1971-01-01
"1363",1972,"JAN",999.9,"Barranquilla",1972-01-01
"1364",1973,"JAN",999.9,"Barranquilla",1973-01-01
"1365",1974,"JAN",999.9,"Barranquilla",1974-01-01
"1366",1975,"JAN",999.9,"Barranquilla",1975-01-01
"1367",1976,"JAN",25.9,"Barranquilla",1976-01-01
"1368",1977,"JAN",26.7,"Barranquilla",1977-01-01
"1369",1978,"JAN",26.7,"Barranquilla",1978-01-01
"1370",1979,"JAN",26.6,"Barranquilla",1979-01-01
"1371",1980,"JAN",27.5,"Barranquilla",1980-01-01
"1372",1981,"JAN",27.5,"Barranquilla",1981-01-01
"1373",1982,"JAN",26.8,"Barranquilla",1982-01-01
"1374",1983,"JAN",27.2,"Barranquilla",1983-01-01
"1375",1984,"JAN",26.9,"Barranquilla",1984-01-01
"1376",1985,"JAN",25.8,"Barranquilla",1985-01-01
"1377",1986,"JAN",26.4,"Barranquilla",1986-01-01
"1378",1987,"JAN",26.9,"Barranquilla",1987-01-01
"1379",1988,"JAN",26.5,"Barranquilla",1988-01-01
"1380",1989,"JAN",26.2,"Barranquilla",1989-01-01
"1381",1990,"JAN",26.7,"Barranquilla",1990-01-01
"1382",1991,"JAN",26.5,"Barranquilla",1991-01-01
"1383",1992,"JAN",26.8,"Barranquilla",1992-01-01
"1384",1993,"JAN",27.6,"Barranquilla",1993-01-01
"1385",1994,"JAN",26.8,"Barranquilla",1994-01-01
"1386",1995,"JAN",27.5,"Barranquilla",1995-01-01
"1387",1996,"JAN",27.4,"Barranquilla",1996-01-01
"1388",1997,"JAN",27,"Barranquilla",1997-01-01
"1389",1998,"JAN",27.7,"Barranquilla",1998-01-01
"1390",1999,"JAN",26.9,"Barranquilla",1999-01-01
"1391",2000,"JAN",26.4,"Barranquilla",2000-01-01
"1392",2001,"JAN",26.7,"Barranquilla",2001-01-01
"1393",2002,"JAN",28.4,"Barranquilla",2002-01-01
"1394",2003,"JAN",28.5,"Barranquilla",2003-01-01
"1395",2004,"JAN",27.2,"Barranquilla",2004-01-01
"1396",2005,"JAN",999.9,"Barranquilla",2005-01-01
"1397",2006,"JAN",27.6,"Barranquilla",2006-01-01
"1398",2007,"JAN",26.4,"Barranquilla",2007-01-01
"1399",2008,"JAN",26.9,"Barranquilla",2008-01-01
"1400",2009,"JAN",27.2,"Barranquilla",2009-01-01
"1401",2010,"JAN",27.7,"Barranquilla",2010-01-01
"1402",2011,"JAN",27.2,"Barranquilla",2011-01-01
"1403",2012,"JAN",26.7,"Barranquilla",2012-01-01
"1404",2013,"JAN",26.9,"Barranquilla",2013-01-01
"1405",2014,"JAN",27.2,"Barranquilla",2014-01-01
"1406",2015,"JAN",27,"Barranquilla",2015-01-01
"1407",1966,"FEB",999.9,"Barranquilla",1966-02-01
"1408",1967,"FEB",26.3,"Barranquilla",1967-02-01
"1409",1968,"FEB",26.5,"Barranquilla",1968-02-01
"1410",1969,"FEB",26.4,"Barranquilla",1969-02-01
"1411",1970,"FEB",26.9,"Barranquilla",1970-02-01
"1412",1971,"FEB",26.2,"Barranquilla",1971-02-01
"1413",1972,"FEB",999.9,"Barranquilla",1972-02-01
"1414",1973,"FEB",999.9,"Barranquilla",1973-02-01
"1415",1974,"FEB",999.9,"Barranquilla",1974-02-01
"1416",1975,"FEB",999.9,"Barranquilla",1975-02-01
"1417",1976,"FEB",26.1,"Barranquilla",1976-02-01
"1418",1977,"FEB",26.7,"Barranquilla",1977-02-01
"1419",1978,"FEB",27.3,"Barranquilla",1978-02-01
"1420",1979,"FEB",27.4,"Barranquilla",1979-02-01
"1421",1980,"FEB",27.1,"Barranquilla",1980-02-01
"1422",1981,"FEB",27.4,"Barranquilla",1981-02-01
"1423",1982,"FEB",27,"Barranquilla",1982-02-01
"1424",1983,"FEB",27.1,"Barranquilla",1983-02-01
"1425",1984,"FEB",27.2,"Barranquilla",1984-02-01
"1426",1985,"FEB",26.6,"Barranquilla",1985-02-01
"1427",1986,"FEB",26.5,"Barranquilla",1986-02-01
"1428",1987,"FEB",27.6,"Barranquilla",1987-02-01
"1429",1988,"FEB",27.1,"Barranquilla",1988-02-01
"1430",1989,"FEB",26,"Barranquilla",1989-02-01
"1431",1990,"FEB",26.4,"Barranquilla",1990-02-01
"1432",1991,"FEB",26.8,"Barranquilla",1991-02-01
"1433",1992,"FEB",27.3,"Barranquilla",1992-02-01
"1434",1993,"FEB",27.4,"Barranquilla",1993-02-01
