"No","m2s_ratio","lonm","latm","area(km2)","Vol(km3/yr)","nyr","yrb","yre","elev(m)","CT","CN","River_Name","OCN","Station_Name"
65,10000,4.75,43.75,95590.0,53.904,81.0,1920,2000,6.0,"FR","EU","Rhone","MED","Beaucaire,"
68,10000,-132.25,56.75,51593.0,50.22,47.3,1954,2006,7.6,"AK","NA","Stikine","PAC","nr Wrangell"
71,10000,35.25,47.25,463000.0,46.822,33.0,1952,1984,-9999.0,"UA","EU","Dnepr","MED","Dnepr hydro"
77,10000,-150.25,61.75,50246.0,44.681,52.5,1949,2006,12.2,"AK","NA","Susitna","PAC","Susitna Stn"
83,10000,31.25,31.25,2900000.0,39.571,12.0,1973,1984,20.0,"EG","AF","Nile","MED","El Ekhsase,"
93,10000,-59.25,6.75,53400.0,35.671,10.0,1973,1987,12.0,"GY","SA","Cuyuni","ATL","Kamaria Fal"
95,10000,-144.75,60.25,53354.0,36.212,41.7,1950,2006,121.9,"AK","NA","Copper","PAC","Chitina, AK"
103,10000,-39.75,-19.25,78456.0,32.437,68.0,1967,2006,-9999.0,"BR","SA","Doce","ATL","Linhares, B"
104,10000,135.75,71.25,224000.0,33.122,52.4,1951,2006,-9999.0,"RU","AS","Yana","ARC","Ubileynaya,"
105,10000,-53.25,-1.25,51343.0,32.113,37.8,1968,2006,-9999.0,"BR","SA","Jari","ATL","Sao Francis"
106,10000,-72.75,-37.25,24029.0,31.876,28.3,1963,1992,-9999.0,"CL","SA","Bío Bío","PAC","desembocadu"
109,10000,44.75,-19.75,45000.0,31.4,24.3,1958,1983,-9999.0,"MG","AF","Tsiribihina","IND","Betomba, Ma"
111,10000,-50.25,1.25,23373.0,29.996,41.2,1952,2006,-9999.0,"BR","SA","Araguari","ATL","Porto Plato"
116,10000,11.75,-4.25,55010.0,28.584,22.9,1956,1982,8.0,"CG","AF","Kouilou","ATL","Sounda, Con"
120,10000,89.25,25.75,20000.0,28.631,12.8,1969,1992,-9999.0,"BD","AS","Tista","IND","Kaunia, Ban"
122,10000,-138.25,59.25,28024.0,27.3,31.3,1974,2006,0.0,"AK","NA","Alsek","PAC","nr Yakutat,"
124,10000,-41.25,-21.75,55500.0,26.226,78.9,1928,2006,14.0,"BR","SA","Paraiba do Sul","ATL","Campos-Pont"
130,10000,-72.75,46.75,42000.0,23.266,94.0,1901,1994,99.0,"CA","NA","Saint-Maurice","ATL","Centrale de"
134,10000,-16.25,16.25,268000.0,21.691,94.7,1903,2000,14.0,"SN","AF","Senegal","ATL","Dagana, Sen"
135,10000,-95.75,18.75,21419.0,21.514,51.0,1948,2000,22.0,"MX","NA","Papaloapan","ATL","Papaloapan,"
137,10000,11.25,59.75,40221.0,21.211,83.3,1901,1984,100.0,"NO","EU","Glomma (Gläma )","ATL","Langnes (So"
138,10000,-85.25,29.75,44548.0,19.987,78.0,1928,2006,12.4,"US","NA","Apalachicola","ATL","Chattahooch"
142,10000,-92.75,56.75,103000.0,19.187,28.4,1974,2006,-9999.0,"CA","NA","Hayes,","MB","ATL d/s Gods Ri"
144,10000,43.75,-21.75,53225.0,16.646,26.0,1951,1983,-9999.0,"MG","AF","Mangoky","IND","Bevoay, Mad"
145,10000,-69.75,58.75,41700.0,18.513,30.3,1962,1993,4.0,"CA","NA","Feuilles","(R","aux ATL en aval de,"
146,10000,-69.75,57.75,42700.0,18.98,34.6,1962,1999,27.0,"CA","NA","Melezes","(R","aux) ATL pres de la,"
147,10000,-94.25,58.75,287000.0,18.357,71.8,1928,2006,-9999.0,"CA","NA","Churchill","ATL","abv.RED HEA"
148,10000,102.25,5.75,11900.0,17.284,50.2,1949,2000,25.0,"MY","AS","Kelantan","PAC","Guillemard,"
149,10000,168.75,-46.25,20306.0,17.355,29.1,1954,1984,10.0,"NZ","PO","Clutha","PAC","Balclutha,"
150,10000,9.25,5.75,6810.0,17.097,12.6,1967,1979,44.0,"CM","AF","Cross","ATL","Mamfe (Manf"
151,10000,24.75,65.75,50599.0,17.168,91.0,1911,2001,17.0,"FI","EU","Kemi","ATL","Taivalkoski"
152,10000,11.75,57.75,46858.0,16.505,104.0,1900,2003,44.0,"SE","EU","Gota","ATL","Vänern, Swe"
153,10000,126.75,37.25,25046.0,16.583,24.5,1947,1979,2.0,"KR","AS","Han","PAC","Indogyo, So"
155,10000,38.25,63.75,55735.0,16.106,60.0,1943,2006,10.0,"RU","EU","Onega","ARC","Porog, Russ"
156,10000,72.75,21.25,61575.0,15.428,27.3,1940,1979,-9999.0,"IN","AS","Tapi (Tapti)","IND","Kathore, In"
158,10000,-39.25,-16.25,67769.0,14.445,65.3,1936,2006,-9999.0,"BR","SA","Jequitinhonha","ATL","Itapebi, Br"
160,10000,-98.25,22.25,58115.0,13.614,23.0,1957,1979,80.0,"MX","NA","Pánuco","ATL","Las Adjunta"
162,10000,-85.25,55.25,50000.0,13.304,37.5,1965,2005,100.0,"CA","NA","Winisk","ATL","d/s Ashewei"
163,10000,0.75,40.75,84230.0,14.82,72.0,1913,1999,8.0,"ES","EU","Ebro","MED","Tortosa, Sp"
164,10000,27.75,59.25,56000.0,12.453,85.6,1902,1991,-9999.0,"EE","EU","Narva","ATL","Narva Ges,"
166,10000,1.25,49.75,65000.0,10.527,7.0,1971,1977,-9999.0,"FR","EU","Seine","ATL","Poses, Fran"
167,10000,-115.25,67.75,50700.0,9.031,40.7,1965,2006,-9999.0,"CA","NA","Coopermine","ARC","COPPERMINE,"
169,10000,-9.25,39.25,67490.0,9.981,72.0,1913,1990,200.0,"PT","EU","Tagus (Tejo, Ta","ATL","Almourol, P"
171,10000,147.25,-19.75,129450.0,8.897,77.7,1921,2000,9.0,"QX","AU","Burdekin","PAC","Clare, Aust"
174,10000,-105.25,21.75,128943.0,8.375,26.0,1956,1981,39.0,"MX","NA","Grande de Santi","PAC","El Capomal,"
175,10000,-4.75,5.25,95500.0,8.3,38.0,1954,1991,13.0,"CI","AF","Bandama","ATL","Tiassalé, I"
176,10000,79.75,10.75,74004.0,7.702,5.0,1971,1979,58.0,"IN","AS","Cauvery","IND","Grand Anicu"
178,10000,150.75,-23.25,135860.0,13.822,85.7,1914,2001,-9999.0,"QX","AU","Fitzroy-QX","PAC","The Gap, Au"
182,10000,130.25,-13.25,46600.0,7.651,31.8,1969,2001,15.0,"NT","AU","Daly","IND","Mt Nancar,"
183,10000,2.25,6.75,46990.0,5.443,33.8,1948,1992,-9999.0,"BJ","AF","Ouémé","ATL","Bonou, Beni"
189,10000,16.75,-28.25,850530.0,6.884,65.2,1935,2001,-9999.0,"ZA","AF","Orange (Senqu)","ATL","Vioolsdrift"
191,10000,-39.25,-14.25,56290.0,3.415,70.1,1935,2006,50.0,"BR","SA","Contas [de]","ATL","Ubaitaba, B"
194,10000,-95.75,28.75,108787.0,2.583,74.7,1919,2006,16.0,"US","NA","Colorado-TX","ATL","Wharton, TX"
195,10000,-97.25,25.75,456700.0,1.499,67.0,1934,2000,-9999.0,"US","NA","Rio Grande (Bra","ATL","Matamoros,"
196,10000,118.75,-20.25,49895.0,1.447,22.7,1974,2000,26.0,"WX","AU","de Grey","IND","Coolenar Po"
197,10000,113.75,-24.75,73545.0,0.718,41.3,1957,1998,16.9,"WX","AU","Gascoyne","IND","Nine Mile B"
199,10000,116.25,-21.25,48945.0,0.265,29.8,1968,1998,-9999.0,"WX","AU","Fortescue","IND","Jimbegnyino"
200,10000,114.25,-27.75,84880.0,0.175,31.5,1967,1999,-9999.0,"WX","AU","Murchison","IND","Emu Springs"
201,10000,-92.75,18.25,37702.0,16.92,32.6,1947,1981,18.0,"MX","NA","Grijalva","ATL","Reforma"
202,10000,-67.58,57.88,29800.0,15.975,38.5,1956,1999,26.0,"CA","NA","Baleine","(R","à la ATL pres de l'e"
203,10000,-155.9,59.33,16835.0,15.997,20.2,1967,1987,13.7,"AK","NA","Kvichak","PAC","Igiugig, AK"
204,10000,138.8,37.3,9719.0,15.856,50.0,1951,2000,40.0,"JP","AS","Shinano","PAC","Ojiya"
205,10000,-124.0,41.51,31339.0,15.941,63.3,1910,1999,-9999.0,"US","NA","Klamath","PAC","Klamath, CA"
206,10000,21.67,65.8,24707.0,15.811,102.0,1900,2003,11.0,"SE","EU","Lule","ATL","Boden Water"
207,10000,-59.6,50.7,19100.0,15.465,13.9,1965,1980,50.0,"CA","NA","Petit Mecatina","ATL","WSC site 02"
208,10000,-53.7,-0.42,30945.0,15.451,16.3,1973,1989,-9999.0,"BR","SA","Parú de Este","ATL","Fazenda Paq"
209,10000,45.53,-19.8,17990.0,15.499,3.3,1980,1983,-9999.0,"MG","AF","Mania","IND","Ankotrofots"
210,10000,137.5,52.7,41000.0,15.224,44.4,1941,1985,92.0,"RU","AS","Amgun","PAC","Guga"
211,10000,-84.68,13.07,15073.0,15.803,10.7,1971,1982,-9999.0,"NI","CA","Grande de Matag","ATL","San Pedro d"
212,10000,-72.61,41.99,25019.0,15.025,72.4,1928,2000,11.7,"US","NA","Connecticut","ATL","Thompsonvil"
213,10000,-46.32,-1.8,31064.0,14.984,26.8,1972,1999,-9999.0,"BR","SA","Gurupi","ATL","Alto Bonit"
214,10000,141.53,43.12,12697.0,14.91,47.0,1954,2000,-9999.0,"JP","AS","Ishikari","PAC","Ishikari-Oh"
215,10000,-66.18,50.35,19000.0,13.189,34.8,1965,2000,17.0,"CA","NA","Moisie","ATL","5.1 km u/s"
216,10000,-47.84,-24.49,20855.0,14.48,46.3,1953,1999,10.0,"BR","SA","Ribeira do Igua","ATL","Registro 4F"
217,10000,171.7,-41.83,6350.0,14.394,9.8,1964,1984,25.0,"NZ","PO","Buller","PAC","Te Kuha"
218,10000,10.12,3.57,26400.0,14.084,25.8,1951,1977,35.0,"CM","AF","Nyong","ATL","Déhané"
219,10000,120.33,28.15,13560.0,14.063,36.0,1951,1986,-9999.0,"CN","AS","Oujiang","PAC","Yuren"
220,10000,34.55,-21.15,100885.0,13.982,3.8,1976,1979,20.0,"MZ","AF","Save (Sabi)","IND","Vila Franca"
221,10000,-160.13,66.97,24657.0,13.566,25.6,1976,2003,10.7,"AK","NA","Kobuk","ARC","nr Kiana, A"
222,10000,46.85,-17.42,18550.0,13.832,32.6,1948,1982,-9999.0,"MG","AF","Ikopa","IND","Antsatrana"
223,10000,45.47,-19.52,14375.0,13.897,2.0,1981,1983,-9999.0,"MG","AF","Mahajilo","IND","Miandrivazo"
224,10000,-84.4,11.02,28600.0,12.435,10.5,1969,1989,26.0,"NI","CA","San Juan","ATL","El Castillo"
225,10000,-94.87,17.43,9224.0,13.041,4.0,1976,1979,20.0,"MX","NA","Coatzacoalcos","ATL","Las Perlas"
226,10000,-61.59,50.19,16000.0,11.235,13.6,1962,1975,5.0,"CA","NA","Natashquan","ATL","pres de l'e"
227,10000,-21.0,63.94,5760.0,12.577,41.5,1950,1992,12.0,"IS","EU","Hvita (Olfusa)","ATL","Selfoss"
228,10000,-81.83,31.65,35224.0,12.491,67.0,1931,1998,7.5,"US","NA","Altamaha","ATL","Doctortown,"
229,10000,-73.69,42.75,20953.0,12.41,51.8,1946,1998,0.1,"US","NA","Hudson","ATL","Green Islan"
