"No","m2s_ratio","lonm","latm","area(km2)","Vol(km3/yr)","nyr","yrb","yre","elev(m)","CT","CN","River_Name","OCN","Station_Name"
279,10000,-122.91,46.28,5796.0,8.237,70.3,1926,2001,6.2,"US","NA","Cowlitz","PAC","Castle Rock"
280,10000,148.7,-9.35,4210.0,8.267,6.1,1958,1964,-9999.0,"PG","PO","Musa","PAC","Nadi Jabuna"
281,10000,34.5,64.43,26500.0,8.191,33.0,1956,1988,-9999.0,"RU","EU","Belomorkanal","ARC","Matkozh"
282,10000,120.82,15.15,6487.0,7.269,30.8,1946,1977,1.0,"PH","AS","Pampanga","PAC","San Agustin"
283,10000,117.29,5.3,5730.0,7.797,11.3,1970,1985,-9999.0,"MY","AS","Milan","PAC","Tangkulap,"
284,10000,-71.08,-35.7,5454.0,7.75,76.9,1915,1993,-9999.0,"CL","SA","Maule","PAC","Armerillo"
285,10000,-82.25,53.25,24200.0,7.7,28.8,1965,1994,240.0,"CA","NA","Attawapiskat","ATL","d/s Attawap"
286,10000,-76.2,56.86,12500.0,7.653,18.3,1974,1993,-9999.0,"CA","NA","Nastapoca","ATL","pres de l'e"
287,10000,46.97,-22.93,14160.0,7.615,16.2,1960,1978,-9999.0,"MG","AF","Mananara","IND","Maroangaty"
288,10000,-93.74,30.3,24162.0,7.54,75.0,1924,1999,1.2,"US","NA","Sabine","ATL","Ruliff, TX"
289,10000,125.58,-18.21,46530.0,7.116,44.8,1955,2000,110.9,"WX","AU","Fitzroy-WX","IND","Fitzroy Cro"
290,10000,-77.63,36.46,21720.0,7.341,87.8,1912,1999,13.4,"US","NA","Roanoke","ATL","Roanoke Rap"
291,10000,11.83,45.1,11954.0,7.163,57.0,1922,1979,9.0,"IT","EU","Adige (Etsch)","MED","Boara Pisan"
292,10000,103.05,5.13,3340.0,7.04,26.5,1961,1991,12.0,"MY","AS","Trengganu","IND","Kampung Tan"
293,10000,12.48,41.9,16545.0,7.045,77.3,1921,1998,1.0,"IT","EU","Tiber (Tevere)","MED","Ripetta (Ro"
294,10000,35.63,36.97,20466.0,7.022,13.3,1970,1983,13.0,"TR","AM","Ceyhan","MED","Misis"
295,10000,-94.85,30.42,44512.0,7.003,75.4,1924,1999,7.9,"US","NA","Trinity","ATL","Romayor, TX"
296,10000,-71.3,42.65,12005.0,6.891,76.3,1923,1999,1.6,"US","NA","Merrimack","ATL","Lowell, MA"
297,10000,175.15,-39.77,6643.0,6.844,38.5,1951,1990,15.0,"NZ","PO","Wanganui","PAC","Paetawa"
298,10000,-51.37,3.05,4018.0,6.811,6.3,1984,1994,-9999.0,"BR","SA","Cacipore","ATL","Retiro Sant"
299,10000,-9.53,7.33,9760.0,6.735,3.0,1973,1975,-9999.0,"LR","AF","St Paul","ATL","Walker Brid"
300,10000,-123.55,43.59,9539.0,6.7,94.0,1905,1999,27.6,"US","NA","Umpqua","PAC","Elkton, OR"
301,10000,-124.1,40.49,8063.0,6.63,87.0,1910,1999,10.8,"US","NA","Eel","PAC","Scotia, CA"
302,10000,81.1,7.92,7343.0,6.501,42.8,1942,1984,31.0,"LK","AS","Mahaweli Ganga","IND","Manampitiya"
303,10000,115.92,5.12,7718.0,6.464,11.7,1969,1985,-9999.0,"MY","AS","Pedas","PAC","Tenom"
